url	status	bytes	final_url	note
https://blueseatblogs.com/2012/02/21/overview-of-john-tortorellas-system/	200	32436	https://blueseatblogs.com/2012/02/21/overview-of-john-tortorellas-system/	-
https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Safety/Downloads/2022/2022-csa-certification-e.pdf	200	957121	https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Safety/Downloads/2022/2022-csa-certification-e.pdf	-
https://cdn.thepond.howtohockey.com/2024/01/CompleteGuideToStickhandling.pdf	200	496480	https://cdn.thepond.howtohockey.com/2024/01/CompleteGuideToStickhandling.pdf	-
https://bleacherreport.com/articles/2481173-the-95-devils-20-years-later-how-a-team-and-its-infamous-trap-changed-the-nhl	200	364973	https://bleacherreport.com/articles/2481173-the-95-devils-20-years-later-how-a-team-and-its-infamous-trap-changed-the-nhl	-
https://cdn.shopify.com/s/files/1/0658/4749/2861/files/RE-AKT3D-90_HELMET_BOOKLET_QR_S26R2.pdf	200	629144	https://cdn.shopify.com/s/files/1/0658/4749/2861/files/RE-AKT3D-90_HELMET_BOOKLET_QR_S26R2.pdf	-
https://cdn1.sportngin.com/attachments/document/0084/2519/Teaching_Concepts_Through_Small-Area_Games_FINAL.pdf	200	1092756	https://cdn1.sportngin.com/attachments/document/0084/2519/Teaching_Concepts_Through_Small-Area_Games_FINAL.pdf	-
https://builtforhockey.com/hockey-winger-breakout/	200	35495	https://builtforhockey.com/hockey-winger-breakout/	-
https://bpspsychub.onlinelibrary.wiley.com/doi/10.1111/j.2044-8295.1991.tb02391.x	200	19850	https://bpspsychub.onlinelibrary.wiley.com/action/cookieAbsent	-
https://cdn1.sportngin.com/attachments/document/8a50-2943571/Passing_The_Puck.pdf	200	891396	https://cdn1.sportngin.com/attachments/document/8a50-2943571/Passing_The_Puck.pdf	R26 refetched: byline 'By John Hamre, Assistant Coach, U.S. National Team Development Program', COACHES' PLAYBOOK, AHM.JAN 02, 2pp; all four quoted instructions located verbatim
https://bvhs.ca/wp-content/uploads/2026/06/BVHS-Goalie-Tactics-Manual-2026-2027-Season.pdf	200	6322635	https://bvhs.ca/wp-content/uploads/2026/06/BVHS-Goalie-Tactics-Manual-2026-2027-Season.pdf	-
https://cdn1.sportngin.com/attachments/document/ef49-3383370/USAH_Playing_Rules_SOP_Body_Checking_2025-29.pdf	200	78566	https://cdn1.sportngin.com/attachments/document/ef49-3383370/USAH_Playing_Rules_SOP_Body_Checking_2025-29.pdf	-
https://cdn1.sportngin.com/attachments/document/38c0-3079160/USA_Hockey_Small_Area_Competitive_Games.pdf	200	6045022	https://cdn1.sportngin.com/attachments/document/38c0-3079160/USA_Hockey_Small_Area_Competitive_Games.pdf	-
https://bnq.qc.ca/en/standardization/protection-and-safety/neck-protectors-n.html	200	22889	https://bnq.qc.ca/en/standardization/protection-and-safety/neck-protectors-n.html	-
https://bnq.qc.ca/en/certification/protection-and-safety/neck-protectors-c2.html	200	19403	https://bnq.qc.ca/en/certification/protection-and-safety/neck-protectors-c2.html	-
https://cdn1.sportngin.com/attachments/document/dfc7-2294372/Creating_Offense_5_man_unit_Oct_20.pdf	200	843318	https://cdn1.sportngin.com/attachments/document/dfc7-2294372/Creating_Offense_5_man_unit_Oct_20.pdf	-
https://cdn3.sportngin.com/attachments/document/4f1a-3442850/2025-29_USAH_Playing_Rules___Casebook.pdf	200	1935086	https://cdn3.sportngin.com/attachments/document/4f1a-3442850/2025-29_USAH_Playing_Rules___Casebook.pdf	-
https://assets.contentstack.io/v3/assets/bltebdb4296e05d53db/bltb8440fe08a5e6dc5/69178cd0a582d7db321ad107/2025-2026_PWHL_Rulebook.pdf	200	19772272	https://assets.contentstack.io/v3/assets/bltebdb4296e05d53db/bltb8440fe08a5e6dc5/69178cd0a582d7db321ad107/2025-2026_PWHL_Rulebook.pdf	-
https://cdn2.sportngin.com/attachments/document/945a-3442848/2025-29_USAH_Playing_Rules.pdf	200	1343749	https://cdn2.sportngin.com/attachments/document/945a-3442848/2025-29_USAH_Playing_Rules.pdf	-
https://coachnielsen.wordpress.com/2010/01/30/defensive-zone-coverage/	200	27942	https://coachnielsen.wordpress.com/2010/01/30/defensive-zone-coverage/	-
https://charlottehockeylab.com/2025/09/01/charlotte-hockey-labs-blueprint-for-winning-power-play-formations/	200	134121	https://charlottehockeylab.com/2025/09/01/charlotte-hockey-labs-blueprint-for-winning-power-play-formations/	-
https://coachchic.com/techniques-for-shielding-the-puck/	200	28522	https://coachchic.com/techniques-for-shielding-the-puck/	-
https://coachchic.com/transitioning-from-wheels-to-ice-hockey/	200	28372	https://coachchic.com/transitioning-from-wheels-to-ice-hockey/	-
https://coachchic.com/voice-of-the-bench-communicating-under-pressure-on-the-ice/	200	28956	https://coachchic.com/voice-of-the-bench-communicating-under-pressure-on-the-ice/	-
https://coachthem.com/blog/how-to-defend-with-angling-danny-heath	200	111403	https://coachthem.com/blog/how-to-defend-with-angling-danny-heath	SOFT404?
https://cdn4.sportngin.com/attachments/document/55c1-2114751/IntroductiontoBodyContact.pdf	200	2284348	https://cdn4.sportngin.com/attachments/document/55c1-2114751/IntroductiontoBodyContact.pdf	-
https://coachthem.com/blog/what-hockey-can-learn-from-lacrosse-spacing	200	109083	https://coachthem.com/blog/what-hockey-can-learn-from-lacrosse-spacing	SOFT404?
https://commons.und.edu/theses/4295/	200	8379	https://commons.und.edu/theses/4295/	-
https://coachthem.com/blog/practice-like-a-pro-100-breakout-details	200	108341	https://coachthem.com/blog/practice-like-a-pro-100-breakout-details	SOFT404?
https://doi.org/10.1037/bul0000335	200	1029	https://doi.apa.org/doi/10.1037/bul0000335	-
https://cdn4.sportngin.com/attachments/document/3b59-3498251/USAH_AmericanHockeyHandbook_2025-26.pdf	200	11032480	https://cdn4.sportngin.com/attachments/document/3b59-3498251/USAH_AmericanHockeyHandbook_2025-26.pdf	-
https://cs.uwaterloo.ca/~brecht/papers/linhac-2025-part-1.pdf	200	270083	https://cs.uwaterloo.ca/~brecht/papers/linhac-2025-part-1.pdf	-
https://doi.org/10.1016/j.edurev.2023.100537	200	2724	https://linkinghub.elsevier.com/retrieve/pii/S1747938X23000301	-
https://cdn4.sportngin.com/attachments/document/0138/6193/HUH_Program_Guide_FINAL.pdf	403	18135	https://cdn4.sportngin.com/attachments/document/0138/6193/HUH_Program_Guide_FINAL.pdf (retry 200	-
https://doi.org/10.1007/s10648-025-10006-6	200	97362	https://link.springer.com/article/10.1007/s10648-025-10006-6?error=cookies_not_supported&code=ba3a2996-32d1-4199-8147-4013db2ad50d	-
https://doi.org/10.1080/02640414.2024.2433899	200	15251	https://www.tandfonline.com/action/cookieAbsent	-
https://dal.scholaris.ca/items/9c0b8879-b0ec-4a52-b8f3-258ff264cafc	200	73701	https://dal.scholaris.ca/items/9c0b8879-b0ec-4a52-b8f3-258ff264cafc	SOFT404?
https://doi.org/10.1007/s10648-024-09892-z	200	226528	https://link.springer.com/article/10.1007/s10648-024-09892-z?error=cookies_not_supported&code=e956ba26-3254-4815-91b2-b8c8a3e29af1	-
https://doi.org/10.1080/02701367.2000.10608920	200	15294	https://www.tandfonline.com/action/cookieAbsent	-
https://doi.org/10.1123/jsep.17.2.117	200	29373	https://journals.humankinetics.com/view/journals/jsep/17/2/article-p117.xml	-
https://doi.org/10.1080/15438629809512531	200	15248	https://www.tandfonline.com/action/cookieAbsent	-
https://doi.org/10.1123/jsep.33.1.146	200	29574	https://journals.humankinetics.com/view/journals/jsep/33/1/article-p146.xml	-
https://doi.org/10.1080/1750984X.2012.723728	200	15205	https://www.tandfonline.com/action/cookieAbsent	-
https://doi.org/10.1111/j.1539-6053.2009.01038.x	200	14244	https://journals.sagepub.com/action/cookieAbsent	-
https://doi.org/10.1177/1745691615569000	200	14264	https://journals.sagepub.com/action/cookieAbsent	-
https://doi.org/10.1098/rsos.190327	403	3403	https://royalsocietypublishing.org/doi/10.1098/rsos.190327 (retry 403	-
https://doi.org/10.1177/1745691616635600	200	14279	https://journals.sagepub.com/action/cookieAbsent	-
https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Officiating/Downloads/2026-28-hc-rulebook-e.pdf	200	30185748	https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Officiating/Downloads/2026-28-hc-rulebook-e.pdf	-
